ticket_id,customer_id,issue_category,priority,submission_date,resolution_date,resolution_status,resolution_time_hours,customer_satisfaction_score,notes
b38add31-c7bf-4dcd-ae90-6d7c3cca0728,20b8b390-06f6-4558-9641-9d87ca9de14c,Technical,,2024-10-17 00:00:00,2024-10-18 11:00:00,Resolved,35.0,5.0,Customer experiencing software issues with Coffee Maker.
d391b9a7-80a2-4f12-bafc-678b0cdce568,53028554-1256-42c4-89ac-20eada75c706,Website Issue,High,2025-01-06 00:00:00,2025-01-07 13:00:00,Resolved,37.0,2.0,Customer account login issues on the website.
5efa523c-4793-4dc0-9a6a-142507fe1d45,763562c0-e28a-4859-ac64-c94e94d04bc8,Website Issue,Low,2022-01-28 00:00:00,2022-01-31 02:00:00,Resolved,74.0,3.0,Images not loading on Cookware Set page.
f599efaf-e9ab-46d9-b5e3-5df3e5d9084e,b3cebbcc-3232-4425-9af8-af2685b6bece,,High,2021-04-16 00:00:00,2021-04-16 21:00:00,Resolved,21.0,4.0,iPad not powering on after purchase.
a25e2a1b-4000-4eae-ab96-fe7f9f227178,3382f162-464f-4ee1-a68e-8ad71fc48f8b,Product Inquiry,Low,2025-01-14 00:00:00,2025-01-16 21:00:00,Resolved,,4.0,Customer inquiring about Coffee Maker compatibility with their existing setup.
9312ac51-bf30-47c3-8ee6-f0e61905d0fd,164497f0-2475-46d8-be36-0d5924c01be9,Technical,Medium,2024-07-29 00:00:00,2024-07-29 17:00:00,Resolved,17.0,3.0,
1e37794e-6078-41f5-981c-aa6d4e9f29c2,d9b5dfbb-7b63-4900-b91a-52c9caa0c0bf,Product Inquiry,Low,2025-01-13 00:00:00,,Escalated,,,Customer asking about warranty coverage for Area Rug.
d2b204c0-46f0-4dda-ad4f-3077d7703845,f6ce6723-4bc1-442a-8ed7-f1bc7edaa547,Website Issue,,2024-11-10 00:00:00,2024-11-11 08:00:00,Resolved,32.0,2.0,Customer unable to complete checkout process on website.
a928f6e2-d564-4929-bf76-e19c63e0c845,68c14858-96a2-4a10-a0d4-abb433ce59cb,Product Inquiry,Low,2024-05-10 00:00:00,2024-05-11 07:00:00,Resolved,31.0,3.0,Stock availability inquiry for MacBook.
a5dc120c-2c3d-4bd1-99b5-a90133e76dce,d36abca8-bc02-48f2-876a-0c52cf374042,Technical,High,2021-06-18 00:00:00,2021-06-18 17:00:00,Resolved,17.0,3.0,Customer reporting connectivity issues with Refrigerator.
a05012a6-5463-42f0-86a1-73c6ef2a5c04,3f1472eb-1b5f-462a-8bcf-c57991ebd356,Product Inquiry,Low,2024-10-04 00:00:00,2024-10-06 02:00:00,Resolved,50.0,3.0,Customer requesting recommendations for products similar to Nintendo Switch.
9606076d-fb64-4431-b300-e34cc34c400a,8b6d55e3-93a3-44c2-a510-1deaff83ee4b,Account Issue,Low,2025-02-26 00:00:00,2025-02-26 20:50:02,Resolved,101.0,3.0,Customer reporting unauthorized access to their account.
195b0df2-2019-44fa-8fe6-54414f66ab52,b3910604-f47b-4672-974f-07db1007f56b,Account Issue,Low,2024-12-20 00:00:00,2024-12-23 17:00:00,Resolved,89.0,3.0,Customer requesting deletion of their account.
204dee6b-013d-43f5-9d4b-f1fe5a81334a,8fdebd08-fc33-448b-9e36-9480c10d3d4a,Account Issue,Low,2022-12-02 00:00:00,2022-12-03 13:00:00,Resolved,37.0,1.0,Customer requesting deletion of their account.
ca000107-584c-49f9-8103-84569e18b146,1b1672d9-f157-4cf8-8c77-04c1f67cc565,Account Issue,Medium,2024-03-15 00:00:00,2024-03-16 23:00:00,Resolved,47.0,3.0,Customer requesting deletion of their account.
f0e2bbd6-dc3b-45b6-b687-dce8bbbf9645,1943f328-aebc-4ee1-a7bc-8e36c55ae1e8,Returns,Medium,2023-11-21 00:00:00,2023-11-23 18:00:00,Resolved,66.0,4.0,Customer wants to exchange Sony TV for a different model.
c6f670d2-8a75-42c0-9457-3112915a25cb,9d54e761-120c-4676-9740-41cf3bf39182,Technical,Medium,2021-07-08 00:00:00,2021-07-10 07:00:00,Resolved,55.0,3.0,Customer experiencing software issues with Refrigerator.
3d1c3590-c821-414f-9886-a8f08d61d363,3c480611-09c9-42fe-91a9-d3cb3a6f413f,Billing,High,2024-06-11 00:00:00,2024-06-12 06:00:00,Resolved,30.0,2.0,Billing address verification failed during checkout.
683d6904-37b3-4cc8-84e6-6d7ceecef01f,bac176a7-b2b8-49bf-a0b3-23e2b447a149,Account Issue,,2024-07-06 00:00:00,2024-07-10 12:00:00,Resolved,108.0,2.0,Customer reporting unauthorized access to their account.
20bdd61b-b98e-4d35-ace1-a674bd1e67d0,5734955b-cba2-4fdb-b147-9cd2b3a217e8,Product Inquiry,High,2023-03-07 00:00:00,2023-03-07 01:00:00,Resolved,1.0,5.0,Customer requesting recommendations for products similar to iPad.
e75fa777-41ec-4bef-b6d5-cdb118c98e5e,f006974f-cad9-47b5-b924-f796510e0c9c,Shipping,High,2023-11-16 00:00:00,2023-11-16 22:00:00,Resolved,22.0,5.0,Package containing Amazon Echo was delivered to wrong address.
87c95ae6-c295-4451-9471-9addd9ba1f04,982d5052-69c4-4eec-b373-842bd832c537,Returns,Medium,2024-09-22 00:00:00,2024-09-24 22:00:00,Resolved,70.0,1.0,Customer experiencing buyer's remorse for Cookware Set.
93d2b66a-a215-4921-8fa2-f26d21537cda,8bd3b325-5d02-4c07-99de-2887d53cb571,Billing,High,2023-09-27 00:00:00,2023-09-27 02:00:00,Resolved,2.0,4.0,Billing address verification failed during checkout.
853d0f29-209e-41be-b779-48d5fb79b989,f383f3c9-dd09-49f3-a287-927dc1dd100f,Returns,High,2024-08-14 00:00:00,2024-08-15 01:00:00,Resolved,25.0,2.0,Customer requesting return authorization for Bose Headphones.
2d3d65fa-443b-4fc5-92c3-085c976a9b17,cc2c460a-956e-482d-8e1d-e858cd78548e,Account Issue,Medium,2022-12-19 00:00:00,,Escalated,,,Customer requesting to merge duplicate accounts.
4a7c883b-d7bb-480e-abeb-6b269c7f0f1b,097f53bc-7ec1-49cd-8ce5-2ce0fd3604c7,Shipping,Medium,2024-11-07 00:00:00,2024-11-09 01:00:00,Resolved,,5.0,Tracking information shows Dining Table delivery but customer didn't receive it.
4f6f3912-8410-477f-891a-f2ae21a22dc4,8ff51083-cc95-4506-824a-51db5c169a79,Billing,Medium,2024-03-01 00:00:00,2024-03-01 07:00:00,Resolved,7.0,5.0,Customer inquiring about refund status for returned Sofa.
a8bbadad-3b09-4155-8f7d-082c14eb137b,83111753-327d-46ef-830d-e49f03e40901,Website Issue,High,2022-10-15 00:00:00,2022-10-16 10:00:00,Resolved,34.0,5.0,Images not loading on Samsung Galaxy page.
22d5a9f7-5d35-45a5-8978-91ceee44226c,84383f62-b3d4-43ce-a9ef-384270640e2c,Account Issue,Low,2022-05-28 00:00:00,2022-06-01 17:00:00,Resolved,113.0,2.0,Customer requesting deletion of their account.
70b16249-3740-46c3-9c90-41b2ad7f9ed7,75ff6efb-f8e3-4722-aed6-6ce804b0c5b3,Returns,Low,2024-04-23 00:00:00,2024-04-25 10:00:00,Resolved,58.0,3.0,Customer requesting return policy extension for Sofa.
b38eb4e3-46ad-49d2-a4dd-d88cd7efa4c0,ff76a122-b9e2-4293-9a9d-1e5927fbddff,Account Issue,Low,2024-03-30 00:00:00,2024-03-31 19:00:00,Resolved,43.0,3.0,Customer reporting unauthorized access to their account.
